,Unnamed: 0.1,Unnamed: 0,Tweets,Sentiment,Sarcasm_Col,Topic,Sarcasm_Aug
35,81,128,"""Wow, because what the world really needs is a limitless nuclear pill. Can't wait for that to hit the market in less than 24 hours. #sarcasm""",Negative,Sarcastic,Politics,"""The world definitely doesn't need a limitless nuclear pill. It's concerning that it could be available on the market so soon. #concern"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}})], created=1739502045, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=28, prompt_tokens=62, total_tokens=90), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'medium'}}}], backend-counter='8')
"
36,83,131,"""I wonder how many people actually think that way. It's not like climate change, nuclear proliferation, and AI are important issues or anything.""",Neutral,Sarcastic,Politics,"'I am curious about how many individuals share this perspective. Climate change, nuclear proliferation, and AI are significant issues, after all."
37,89,144,"""Wow, because what could possibly go wrong with a Japanese company building nuclear power plants in the UK? Thanks, Hitachi. """,Negative,Sarcastic,Politics,"'It is concerning that a Japanese company is constructing nuclear power plants in the UK. Thank you, Hitachi."
38,94,150,"""Finland is just jumping right into NATO, no time to waste! Who cares about Putin's threats of retaliation and nuclear escalation? Let's just dive headfirst into WWIII in Europe!""",Negative,Sarcastic,Politics,"""Finland is quickly joining NATO without hesitation, disregarding Putin's warnings of retaliation and nuclear escalation. They seem eager to get involved in a potential conflict in Europe."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502051, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=33, prompt_tokens=65, total_tokens=98), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
39,95,151,"""Oh, because who doesn't love a little uranium poisoning and the thrill of dodging cooling stacks at a nuclear facility? #sarcasm""",Negative,Sarcastic,Energy,'Who would enjoy the risks of uranium poisoning and the danger of avoiding cooling stacks at a nuclear facility? #negative
40,97,154,"""Wow, because what could possibly go wrong with China playing around with nuclear fusion? #sarcasm""",Negative,Sarcastic,General,'It is concerning that China is experimenting with nuclear fusion.
41,99,156," Nuclear made up 12% of German electricity generation in 2021.  Assuming at least half of that is gone, they need to make up 6% of their power somewhere. My understanding was that Nat Gas was their interim solution.",Negative,Sarcastic,Politics,"""Nuclear energy accounted for 12% of Germany's electricity production in 2021. With a significant portion of that now unavailable, they must find alternative sources to replace the missing 6% of power. It was believed that natural gas was being considered as a temporary solution."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502057, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=56, prompt_tokens=75, total_tokens=131), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
42,105,167,"""Oh great, just what we need - a fire at a crumbling nuclear power plant in Michigan. How wonderful. #sarcasm""",Negative,Sarcastic,Energy,'A fire at a deteriorating nuclear power plant in Michigan is the last thing we need. How unfortunate. #negative
43,107,169,"""Oh, because of course CERN, the European Organization for Nuclear Research, would choose the super exciting lowlatency java web framework ApacheWicket. How thrilling.""",Neutral,Sarcastic,Energy,"'CERN, the European Organization for Nuclear Research, has selected the Apache Wicket Java web framework for their project."
44,111,174,"Russia is already talking about Breaking up Europe, many times mentioning nuking the Uk and the rest of Europe… I think I know who’s playing the nuclear card here. The west hasn’t even said it would respond with nukes but rather a conventional assault",Neutral,Sarcastic,General,"'Russia has discussed the possibility of dividing Europe and has made references to using nuclear weapons against the UK and other European countries. The West has not indicated a willingness to respond with nuclear weapons, but rather with a conventional military response."
45,117,183,"""Wow, because who doesn't love watching a time-lapse of every nuclear explosion since 1945? So comforting. #terrifying""",Negative,Sarcastic,General,'It is unsettling to watch a time-lapse of every nuclear explosion since 1945. #terrifying
46,119,186,"""Iran is generously hinting that it might actually be willing to entertain the idea of allowing wider nuclear inspections. How kind of them.""",Neutral,Sarcastic,Politics,'Iran has indicated that it may consider allowing broader nuclear inspections.
47,126,194,"Like my grandpa always says, ""It only takes one nuclear bomb to ruin your whole day""",Neutral,Sarcastic,General,"'As my grandfather often mentions, the impact of a single nuclear bomb can be catastrophic."
48,132,202,"""So, if even Japan could manage to find spots to stash all their nuclear waste before the Fukushima disaster, surely a country as advanced as America wouldn't struggle to find a place to dump their radioactive leftovers, right? #sarcasm""",Negative,Sarcastic,Energy,"'Even though Japan was able to find locations to store their nuclear waste before the Fukushima disaster, it seems like America may face challenges in finding a suitable site to dispose of their radioactive waste."
49,135,205,"""Oh, because clearly you're the expert on energy policies of countries. How dare anyone not embrace nuclear power, right? It's not like having a different opinion makes you biased or anything. And of course, the Pope should totally prioritize pleasing the Catholic Church over everything else, because who cares about progress when you can stick to outdated beliefs, right?""",Negative,Sarcastic,Energy,'It is concerning that some individuals may not support nuclear power and prioritize outdated beliefs over progress. It is important to consider different perspectives on energy policies and the priorities of influential figures like the Pope.
50,138,208,"""Pompeo and Bolton are just dying for a war with Iran. Because, you know, who needs peace and diplomacy when you can have bombs and destruction, right? And of course, having a Trump lapdog as the UK's leader is just the cherry on top of this disaster sundae. Great timing, Britain! """,Negative,Sarcastic,Politics,"""Pompeo and Bolton seem eager for a conflict with Iran, prioritizing military action over peaceful resolutions. The UK's choice of a leader closely aligned with Trump adds to the current tensions."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502078, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=39, prompt_tokens=93, total_tokens=132), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
51,139,209,"YEAH RIGHT. ARE YOU REALLY GOING TO VOTE FOR SOMEBODY WHO THINKS HE IS RUNNING FOR THE SENATE, GOING TO TRUST HIM WITH THE NUCLEAR CODE? THATS TOO SCARY.",Negative,Sarcastic,Politics,"""Are you seriously considering voting for someone who doesn't even know which position he is running for and would potentially have access to the nuclear codes? That is concerning."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502080, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=32, prompt_tokens=73, total_tokens=105), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
53,144,217,"""Oh, because having a bikini bottom on a nuclear test site is just a brilliant idea.""",Negative,Sarcastic,General,'Having a bikini bottom on a nuclear test site is not a smart idea at all.
54,148,225,"""Wow, it only took them 7 years to figure out that maybe nuclear power isn't the best idea after all. Good job, Tepco! Can't wait to see how well they handle investing in renewables. #AboutTime #NukeNuts""",Negative,Sarcastic,Energy,'It took them 7 years to realize that nuclear power may not be the best option. It will be interesting to see how they handle transitioning to investing in renewables. #AboutTime #NukeNuts
55,152,231,"""New SCGov ads from the Republican proudly showcase his valiant efforts in promoting transparency, accountability, and securing refunds in the colossal 9 billion nuclear plant disaster.""",Negative,Sarcastic,Politics,"'The new SCGov ads from the Republican highlight his efforts in promoting transparency, accountability, and securing refunds in the massive 9 billion nuclear plant disaster."
56,165,253,"""Wow, what a great idea! Let's all rush to buy sea salt because Japan is dumping radioactive water into the ocean. Who needs to worry about the consequences when there's a shortage of salt at stake, right? #priorities""",Negative,Sarcastic,Energy,'It is concerning that Japan is releasing radioactive water into the ocean. It is not wise to rush to buy sea salt without considering the potential consequences. #concerned
57,166,254,"""Oh wow, because clearly Ireland needs nine different ways to power itself. Nuclear, fracking, wind, and wave - because why choose just one when you can have them all, right? #overkill""",Negative,Sarcastic,Energy,"'Ireland has nine different methods of powering itself, including nuclear, fracking, wind, and wave energy sources. This variety may seem excessive or unnecessary."
58,167,263,"""Oh, how thoughtful of Halliburton to generously share their nuclear technology with Iran from 2001 to 2005. How considerate of them!""",Negative,Sarcastic,Politics,'It was not a considerate act for Halliburton to share their nuclear technology with Iran from 2001 to 2005.
59,170,266,"""Oh great, just what we need - more nuclear waste in the Irish Sea. How wonderful. #sarcasm""",Negative,Sarcastic,Energy,'More nuclear waste being dumped in the Irish Sea is definitely not a positive development. #displeased
60,172,268,"""So, surprise surprise! The estimated tariff of electricity from the first unit made with indigenous phwr nuclear technology has magically increased to around Rs 5.31/unit from the earlier estimate of Rs 3.34/unit. Who would have thought it would end up being even more expensive than your average coal-based power? #NotSoCostEffective""",Negative,Sarcastic,Energy,'The estimated electricity tariff from the first unit using indigenous phwr nuclear technology has unexpectedly risen to approximately Rs 5.31/unit from the initial estimate of Rs 3.34/unit. It turns out to be more costly than typical coal-based power. #NotCostEffective
61,175,274,"""Iran nuclear talks are just as exciting as watching paint dry, according to Hammond. No breakthrough moments here, folks. #yawn""",Neutral,Sarcastic,Politics,'Hammond described the Iran nuclear talks as uneventful and lacking any significant breakthrough moments. #boring
